attack,bit_accuracy,bit_error_rate,snr_db,payload_true,payload_recovered,success
clean,1.0000,0.0000,100.26,42,42,1
noise_30dB,1.0000,0.0000,30.05,42,42,1
noise_20dB,0.9062,0.0938,20.04,42,2181103658,1
noise_10dB,0.5938,0.4062,9.98,42,2519842950,0
mp3_64k,0.9062,0.0938,22.28,42,269492266,1
mp3_32k,0.8438,0.1562,17.96,42,806363170,0
resample_8k,0.9062,0.0938,25.89,42,1318954,1
resample_16k,1.0000,0.0000,35.56,42,42,1
lowpass_4k,0.9062,0.0938,1.76,42,1318954,1
highpass_200,0.9062,0.0938,-1.97,42,1376298,1
bandpass_phone,0.6875,0.3125,-3.14,42,276702314,0
echo_120ms,0.7188,0.2812,5.69,42,1613892152,0
reverb_400ms,0.6562,0.3438,-4.10,42,142164594,0
dropout_5pct,0.9062,0.0938,8.08,42,5242914,1
dropout_15pct,0.8750,0.1250,6.99,42,5505058,0
