alpha,attack,bit_accuracy,ber,snr_db,perceptual_snr_db,success
0.0050,clean,1.0000,0.0000,100.55,51.81,1
0.0050,noise_30dB,0.8438,0.1562,30.02,51.81,0
0.0050,noise_20dB,0.6250,0.3750,19.94,51.81,0
0.0050,noise_10dB,0.4375,0.5625,10.02,51.81,0
0.0050,mp3_64k,0.7500,0.2500,22.61,51.81,0
0.0050,mp3_32k,0.4688,0.5312,16.93,51.81,0
0.0050,resample_8k,0.5312,0.4688,26.52,51.81,0
0.0050,resample_16k,1.0000,0.0000,38.75,51.81,1
0.0050,lowpass_4k,0.5312,0.4688,1.76,51.81,0
0.0050,highpass_200,0.5000,0.5000,-1.97,51.81,0
0.0050,bandpass_phone,0.4688,0.5312,-3.14,51.81,0
0.0050,echo_120ms,0.5938,0.4062,5.76,51.81,0
0.0050,reverb_400ms,0.4062,0.5938,-3.72,51.81,0
0.0050,dropout_5pct,0.7500,0.2500,8.07,51.81,0
0.0050,dropout_15pct,0.7188,0.2812,6.99,51.81,0
0.0100,clean,1.0000,0.0000,100.54,45.64,1
0.0100,noise_30dB,0.9062,0.0938,30.07,45.64,1
0.0100,noise_20dB,0.7188,0.2812,20.01,45.64,0
0.0100,noise_10dB,0.6562,0.3438,9.97,45.64,0
0.0100,mp3_64k,0.7812,0.2188,23.22,45.64,0
0.0100,mp3_32k,0.5312,0.4688,17.78,45.64,0
0.0100,resample_8k,0.5625,0.4375,26.48,45.64,0
0.0100,resample_16k,1.0000,0.0000,38.50,45.64,1
0.0100,lowpass_4k,0.6250,0.3750,1.76,45.64,0
0.0100,highpass_200,0.5938,0.4062,-1.97,45.64,0
0.0100,bandpass_phone,0.5000,0.5000,-3.14,45.64,0
0.0100,echo_120ms,0.5938,0.4062,5.76,45.64,0
0.0100,reverb_400ms,0.6250,0.3750,-2.79,45.64,0
0.0100,dropout_5pct,0.8438,0.1562,8.07,45.64,0
0.0100,dropout_15pct,0.7500,0.2500,6.99,45.64,0
0.0200,clean,1.0000,0.0000,100.51,39.21,1
0.0200,noise_30dB,1.0000,0.0000,30.02,39.21,1
0.0200,noise_20dB,0.8125,0.1875,19.97,39.21,0
0.0200,noise_10dB,0.6875,0.3125,9.98,39.21,0
0.0200,mp3_64k,0.8750,0.1250,22.43,39.21,0
0.0200,mp3_32k,0.6562,0.3438,16.72,39.21,0
0.0200,resample_8k,0.7812,0.2188,26.35,39.21,0
0.0200,resample_16k,1.0000,0.0000,37.69,39.21,1
0.0200,lowpass_4k,0.8438,0.1562,1.76,39.21,0
0.0200,highpass_200,0.7188,0.2812,-1.97,39.21,0
0.0200,bandpass_phone,0.5312,0.4688,-3.14,39.21,0
0.0200,echo_120ms,0.5938,0.4062,5.76,39.21,0
0.0200,reverb_400ms,0.5938,0.4062,-3.79,39.21,0
0.0200,dropout_5pct,0.8750,0.1250,8.07,39.21,0
0.0200,dropout_15pct,0.7812,0.2188,6.99,39.21,0
0.0400,clean,1.0000,0.0000,100.26,28.23,1
0.0400,noise_30dB,1.0000,0.0000,30.05,28.23,1
0.0400,noise_20dB,0.9062,0.0938,20.04,28.23,1
0.0400,noise_10dB,0.5938,0.4062,9.98,28.23,0
0.0400,mp3_64k,0.9062,0.0938,22.28,28.23,1
0.0400,mp3_32k,0.8438,0.1562,17.96,28.23,0
0.0400,resample_8k,0.9062,0.0938,25.89,28.23,1
0.0400,resample_16k,1.0000,0.0000,35.56,28.23,1
0.0400,lowpass_4k,0.9062,0.0938,1.76,28.23,1
0.0400,highpass_200,0.9062,0.0938,-1.97,28.23,1
0.0400,bandpass_phone,0.6875,0.3125,-3.14,28.23,0
0.0400,echo_120ms,0.7188,0.2812,5.69,28.23,0
0.0400,reverb_400ms,0.6562,0.3438,-4.10,28.23,0
0.0400,dropout_5pct,0.9062,0.0938,8.08,28.23,1
0.0400,dropout_15pct,0.8750,0.1250,6.99,28.23,0
0.0800,clean,1.0000,0.0000,99.77,20.44,1
0.0800,noise_30dB,1.0000,0.0000,30.01,20.44,1
0.0800,noise_20dB,1.0000,0.0000,19.97,20.44,1
0.0800,noise_10dB,0.7500,0.2500,9.94,20.44,0
0.0800,mp3_64k,0.9375,0.0625,23.09,20.44,1
0.0800,mp3_32k,0.7812,0.2188,15.99,20.44,0
0.0800,resample_8k,0.9062,0.0938,24.50,20.44,1
0.0800,resample_16k,0.9688,0.0312,31.60,20.44,1
0.0800,lowpass_4k,0.9062,0.0938,1.75,20.44,1
0.0800,highpass_200,0.9688,0.0312,-1.96,20.44,1
0.0800,bandpass_phone,0.7500,0.2500,-3.14,20.44,0
0.0800,echo_120ms,0.8438,0.1562,5.69,20.44,0
0.0800,reverb_400ms,0.6562,0.3438,-5.04,20.44,0
0.0800,dropout_5pct,0.9062,0.0938,8.09,20.44,1
0.0800,dropout_15pct,0.8750,0.1250,7.00,20.44,0
